,result,moves
10,1,"['1R', '8R', '3L', '9R', '2L', '8R', '0R', '9R', '3R', '8L', '0L', '7R']"
11,-1,"['0L', '7R', '4L', '10R', '1R', '8R', '1R', '9R', '3R', '7R', '0R', '9R', '1R', '10R', '2R', '8R']"
12,-1,"['1R', '9L', '0L', '7R', '1L', '8L', '4R', '6R', '0L']"
13,0,"['4R', '8R', '2L', '9L', '0R', '9R', '3L', '8R', '0R', '7L', '4L', '8L', '2R', '9L', '1R', '10L', '0R']"
14,1,"['1L', '6L', '1L', '9L', '0R', '8R', '4L', '9L', '0R', '10L', '3L', '8R', '4R', '10R', '1R', '7L', '2R', '9L', '4R', '8L', '3R', '9L', '2L', '6R', '0L', '9L', '3R', '6R', '4L', '7R', '2L', '8R', '4R', '9L', '1L', '7R', '0R', '8R', '1L', '9L', '2R', '8R', '0L', '8R', '3R', '9R', '4R', '10L', '3L', '9L', '4L', '8R', '1R', '9R', '2R', '10L', '0R']"
15,-1,"['1R', '6L', '1L', '8R', '1R', '8L', '0R', '10L', '3L', '6L', '3L', '9L', '0L', '10L', '2L']"
16,1,"['0R', '10L', '1R', '7R', '4L', '10R', '4R', '10L', '0R', '7R', '1L', '10L', '0L', '10R', '2R', '7R', '3L', '9L', '2L', '7R', '1R', '8R', '2R', '9R', '3R', '10R', '4L', '6R', '1R', '7L', '2R', '9L', '0R', '8L']"
17,-1,"['2R', '10L', '4R', '10L', '0L', '7L', '1L', '9R', '4R', '9R', '1R', '10L', '2L', '6R', '1R', '7L', '0R', '8R', '0R', '10R', '4L', '6L', '2R', '9R', '0R', '10R', '0L', '6L', '1L', '7R']"
18,1,"['4L', '6L', '3L', '7R', '2R', '6R', '1R', '7R', '4R', '8R', '3L', '7L', '4L', '8R', '3R', '9L', '4R', '8R', '0R', '9R', '1L', '9L', '0R']"
19,1,"['2R', '6L', '3L', '10L', '1L', '9L', '0L', '9L', '3L', '7R', '1R', '10R', '0L', '9L', '1R', '6L', '4R', '6L', '0L', '10L']"
20,-1,"['0R', '8L', '4R', '9L', '2L', '8L', '3L', '8R', '1L', '7R', '0L', '8L', '2L', '9R', '0L', '9L', '1L', '9L', '0L', '6L', '4L', '9R', '2L', '7L', '0R', '6R', '1R', '8R', '2R']"
21,-1,"['1R', '10L', '1L', '9R', '4R', '7L', '4L', '9R', '2R', '10L', '4L', '7L', '2L', '6R', '1L', '8R', '0L', '7L', '1R', '9R', '4L', '10R', '3L', '6L', '2L', '10L']"
22,-1,"['3L', '8R', '2L', '9L', '4L', '8L', '4L', '8R', '2R', '10L', '4L', '9L', '3L']"
23,-1,"['3L', '6R', '3L', '6R', '4L', '6R', '1L', '9L', '4L', '8L', '0L', '10R', '3L', '9R', '2L', '6R', '0R', '8L', '1R', '7L', '2L', '6L', '1R', '10R', '2R', '9L', '3R', '7L', '1L', '8R']"
24,1,"['3R', '10R', '1L', '9R', '2R', '9R', '4L', '6L', '0L', '8R', '2R', '7L', '3L', '10R', '1L', '9L', '0R', '8R', '4L', '7R', '3L', '10L', '2L']"
25,1,"['3L', '8R', '0R', '10R', '3L', '9R', '1R', '10R', '0L', '9R', '1R', '10L', '3L', '8R', '2R', '9R', '1R', '10R', '0L', '10R', '2L', '8R', '4R', '7R', '1R', '8L']"
26,1,"['1R', '8L', '2L', '6L', '2R', '8L', '3R', '10R', '0R', '7R', '2R', '9L', '3R', '8R', '4L', '9L', '3L', '8L']"
27,1,"['0R', '10R', '2L', '8L', '4R', '7R', '3L', '9L', '0R', '6L', '3L', '9L', '2L', '7L', '3L', '6R', '2R', '8L']"
28,1,"['0L', '8L', '2L', '8R', '2R', '8L']"
29,-1,"['2R', '10R', '2R', '9R', '3R', '7R', '3L', '10R', '2L', '10L', '1R', '9L', '3L', '6R', '0R']"
30,-1,"['4L', '8L', '1R', '7R', '3L', '7R', '4L', '8L', '1L', '6R', '4L', '10R', '2L', '9R', '1L', '8L', '0L', '6L', '3L', '7L', '1L', '9L', '4R', '8L', '0L', '7L', '2R', '6L', '4R', '9R', '2R', '10L', '3R', '9L', '4R', '8R', '1R', '9L', '2R', '8L']"
31,-1,"['3R', '7L', '2L', '10L', '1L', '7L', '4R', '6R', '1R', '9L', '2L']"
32,-1,"['3R', '10L', '1L', '7R', '3L', '8L', '1R', '7L', '0R', '10L', '4L', '6R', '3R', '6R', '0L', '9R', '4L']"
33,-1,"['4L', '6R', '3R', '10L', '2L', '10L', '1R', '10L', '0R', '7L', '3L', '9R', '2R', '10R', '1L', '8L', '0L', '9R', '0R', '10R', '4R', '8R', '1R', '6L', '2R']"
34,-1,"['0R', '7L', '2R', '9L', '4L', '6R', '0R', '10R', '0L', '8R', '4L', '8R', '2L', '10R', '1R', '9R', '1R', '10R', '2L', '10L', '1L', '8R', '2L']"
35,1,"['0R', '9L', '4L', '9L', '2R', '10L', '2L', '6R', '1R', '6R', '4L', '9L', '0R', '10R', '0L', '8R']"
36,-1,"['4L', '8L', '1R', '7L', '2L', '8L', '3R', '9R', '1R', '6R', '0R', '10R', '2L', '8R', '0R', '7R', '2L', '8L']"
37,-1,"['0R', '10L', '4R', '7L', '0R', '6R', '4L', '9R', '1L', '10R', '3R', '9L', '0L', '10R', '4R', '7L', '4R', '7L', '1L', '6R', '4R', '6L', '2R', '9R', '3R', '8R', '0L', '10R', '4R', '9L', '1R', '8R']"
38,1,"['4R', '6R', '0R', '7L', '1L', '8R', '4R', '7R', '4R', '8L', '0R', '7R', '1L', '8L', '0R', '7R', '1L', '8L', '0R', '7R', '1R', '8R']"
39,-1,"['0L', '10R', '4R', '6R', '1L', '8L', '1R', '7L', '2L', '6L', '2R', '10L', '0R', '9L', '3R', '10L', '4L', '6L', '3L', '9R', '4R']"
40,1,"['2L', '9L', '0R', '9L', '2R', '8R', '4L', '6L', '1R', '8L', '0L', '10L', '2L', '10R', '4R', '8R', '1L', '10R', '1R', '7R', '2R']"
41,-1,"['1R', '9R', '2L', '10R', '4R', '8L', '1R', '6L', '3R', '7R', '0R', '8L', '2R', '6R', '3R', '9L']"
42,1,"['3L', '8L', '1L', '8R', '0R', '7R', '2L', '6L', '4R', '8L', '0R', '7R', '4L', '6L', '2L', '8R', '1R', '9R', '2L', '9L', '4L', '8R', '3R', '9R', '4L', '10L', '3R', '9R', '4R', '10R', '4R', '8R', '1R', '6L', '2L']"
43,1,"['4R', '9L', '2L', '6R', '1R', '10L', '4R', '6R', '4L', '8R']"
44,1,"['2L', '7R', '1L', '10L', '4L', '9R', '2R', '10R', '0R', '6R', '2R', '7L', '3L', '6L', '2R', '9L', '3R', '8L', '4R', '6L', '4L', '8R', '3R', '9R', '4R', '10R', '1R', '8L', '3R', '9L', '0R', '7R', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8R']"
45,-1,"['0L', '10R', '3R', '10R', '4R', '8R', '3R', '8R', '0R', '9L', '1R', '10R', '0R', '10R', '3L', '6R', '2R', '7R', '3L', '8R', '0R', '10L', '2L']"
46,-1,"['2L', '7R', '1R', '6L', '4R', '8L', '0L', '8L', '3R', '7R', '4R', '9L', '3R', '7L', '2L', '6L', '4L', '9L', '3R', '6L', '4R', '6L', '1L', '10L', '0L', '7R', '1R', '10L', '4L', '9R', '3L', '8L', '2L', '10R', '0L', '10L', '2L', '6R', '1R', '7R', '2R']"
47,1,"['0L', '10L', '1L', '9L', '3R', '8R', '0L', '10L', '1L', '6R', '0R', '10L', '2L']"
48,1,"['0R', '8R', '0L', '6L', '1L', '10R', '2R', '9R', '0L', '6R', '0L', '9R', '4L', '10L', '3L', '9L', '2R', '8R']"
49,-1,"['4R', '7L', '3R', '10L', '2L', '10R', '2L', '6R', '1L', '10L', '3L', '9L', '2R', '7L', '0R', '9L', '1L', '8L', '4L', '6L', '1R', '9R', '2L', '10R', '2R', '8L', '0L', '10L', '0R', '9L']"
50,-1,"['2R', '10L', '0R', '9R', '2R', '10L', '0R', '9L', '4L', '8L', '2R', '10R', '0L']"
51,-1,"['1R', '8R', '3L', '6R', '4L', '9L', '2L', '6L', '3R', '8L', '0R', '7R', '3R', '8L', '1R', '8L', '2R', '8R', '4R', '7R', '3L', '8L']"
52,1,"['3R', '8R', '2L', '10R', '2L', '8R', '4L', '7L', '3R', '7L', '4R', '9L', '3R', '7R', '1L', '8R', '0R', '9L', '1R', '8L', '2R', '7L', '4R', '7R', '1L', '8R', '2L', '10R', '0L', '8R', '2R', '7L', '4R', '7L', '2R']"
53,-1,"['0R', '7L', '2R', '6R', '1L', '7R', '0L', '8R', '3R', '8L', '0L', '6R', '4R', '8R', '0R', '9R', '3L', '10R', '2L', '10L', '3L', '8R', '2R', '7L', '2R', '7R', '3L', '8L']"
54,0,"['2R', '10L', '1L', '7R', '0R', '7L', '3R', '6R', '2L', '7L', '2L', '7R', '4L', '8R', '1R', '10L', '4L', '8R']"
55,-1,"['3L', '6L', '1L', '7R', '0L', '7R', '3L', '6L', '4L', '8R', '0R', '8L', '4L', '7R', '3L', '8R', '2R']"
56,1,"['0L', '7L', '2R', '7L', '3R', '9R', '4R', '10L', '1L', '10L', '0L', '6L', '3R', '10L', '4L', '9L', '3L', '8L']"
57,-1,"['2L', '9L', '3L', '6L', '1L', '10L', '0R', '9L', '3L', '7R', '2L', '6R', '0L', '9R', '4L', '7L', '3L', '6R', '1L', '7R', '4L', '8L', '1L', '7R', '3R', '6R', '0R', '9R', '1L', '7R', '4R', '8L']"
58,0,"['0R', '10L', '2R', '7R', '1R', '7L', '4L', '10R', '0R', '8R']"
59,1,"['0L', '8L', '2R', '7L', '1L', '10L', '1L', '10R', '0R', '7L', '1R', '8R']"
60,-1,"['0R', '9L', '3R', '8R', '1L', '9L', '3R', '6L', '0L', '10R', '4L', '7R', '1L', '8L', '0R', '10L', '1R', '7R', '4L', '8R', '3R', '9L', '0L', '8R', '4L', '9R', '3R', '10R', '4L', '7L', '3L', '8L', '4L', '7L', '3L', '10L', '2L', '6R', '1R', '7R', '2L', '8L']"
61,-1,"['4R', '6R', '0L', '6L', '0R', '10L', '2R', '8L', '0R', '8R', '1R', '9L', '4L']"
62,-1,"['0R', '10L', '2R', '8R', '4R', '8R', '1L', '6L', '2L', '10L', '3L', '7R', '2L', '8R', '1R']"
63,1,"['0R', '8L', '2R', '9R', '0L', '6R', '4L', '6L', '0L', '9R', '2R', '7R', '0L', '7L', '4R', '6L', '4R', '10L', '2R', '9L', '1R', '8R', '4R', '9R', '3L', '6L', '0R']"
64,-1,"['4L', '6L', '0L', '9R', '3R', '8R', '1R', '10L', '0L', '9L']"
65,-1,"['0L', '8R', '0L', '6L', '2R', '7R', '3R', '6L', '1L', '10R', '2L']"
66,1,"['0R', '8R', '1R', '6R']"
67,-1,"['3R', '10L', '4R', '10L', '2R', '7R', '0L', '6L', '3L', '9L', '1R', '10L', '4L', '7R', '1R']"
68,1,"['4L', '6R', '1L', '7R', '4L', '9R', '3R', '7R', '4L', '8R', '3R', '6R', '4L', '8L', '3R', '7R', '4R', '7R', '2R', '8L', '0L', '6L', '1R']"
69,1,"['3R', '8R', '2R', '9R', '1R', '10R', '4R', '8L', '2R', '9L', '0R', '10L', '2L', '8R', '3R', '9R', '1R', '9R', '4R', '7R', '0R', '9L']"
70,1,"['4R', '8R', '4R', '9L', '3R', '9L', '4L', '7R', '1R', '9R', '3R', '8L', '1L', '10R', '1R', '6R']"
71,1,"['2L', '10R', '4L', '10R', '0R', '6L', '1R', '7R', '2L', '6L', '2R', '8L', '1R', '7L', '3R', '6R', '3R', '9L', '2R', '10L']"
72,1,"['2R', '7R', '4R', '7R', '1R', '7L', '3L', '9R', '3R', '8R', '2R', '8R', '0R', '10R', '4L', '6R', '0R', '10L', '1R', '9L', '2R', '7L', '1L', '6L', '0L', '8L', '1L', '7R', '0R', '8L', '1R', '7L', '2L', '6R', '1L', '7L', '0L', '6L', '1R', '10R', '1L', '8R', '1R', '9R', '2L', '10R', '1L', '7L', '3R', '6R', '4R', '8R', '0L', '10R', '0R', '8L', '1L', '7R', '0L', '8L', '4L', '7L', '3L']"
73,-1,"['1R', '6L', '1R', '8L', '0R', '6L', '3L', '8L', '2R', '8L', '4R', '10R', '1L', '7L', '0R', '8R', '2R', '9R', '3R', '10R', '4L', '8R', '3R', '7L', '3R', '9L', '2L', '8L', '4L', '7L', '2L', '6R', '1L', '7L', '0R', '6R', '1R', '7L', '2R', '6R', '3L', '7L', '2R', '6R', '3R', '7L', '0R', '7L', '3L', '6L', '2L', '8R', '0L', '6R', '3R', '7L', '4L', '6R', '0L', '7L', '3L', '6R', '2R', '10R', '4L', '7L', '3L', '8L', '1L', '7L', '0R', '6L', '3R', '6L', '3L', '10R', '2R', '9R', '3R', '8L', '4L', '10L', '3L', '9R', '2L']"
74,-1,"['0L', '8R', '1L', '7R', '1L', '10R', '4R', '6L', '0L', '9R', '2R', '10L', '1R', '8R', '3L', '10L', '4L', '9L', '2L', '7L', '0L', '6R']"
75,-1,"['4R', '9L', '1R', '6R', '1L', '7L', '1L', '9R', '2L', '7L', '1R', '7L', '3R', '9R', '4R', '10L', '3R', '7L', '4R', '9R', '1L', '6L', '3L', '10R', '2R', '6R', '0R', '7L', '4R', '7L', '1R', '6R', '2R', '10L', '1L', '9L', '4R', '8R', '3R', '9L', '4R', '8R', '2R']"
76,-1,"['3L', '7R', '0L', '10L', '1L', '7L', '0R', '7R', '3L', '7R', '1R', '8R', '1L', '10L', '0L', '10R', '4L', '7R', '3L', '8L', '1L', '6L', '2L', '7R', '0L', '7R', '1L', '8L', '0R', '7L', '1L', '6R', '0L', '8R']"
77,-1,"['3R', '7L', '2L', '10L', '3R', '7R', '0L', '8R', '4L', '8R', '1R', '7R', '0R', '9R', '2R', '6R', '3L', '7L', '4L', '6R', '2R', '7R', '3L', '8R', '1L', '9R', '3R', '10L', '2L', '7L', '1R', '6L', '4L', '10R', '3R', '6L', '3R', '9R', '4L', '10R', '3R', '6R', '4L', '9L', '3L', '8L', '2R', '7L', '0L', '6R', '3R', '10R', '4L', '10R', '3R', '7L', '3L', '9R', '2L', '6L', '1R', '10L', '2R']"
78,-1,"['1L', '10R', '1R', '9R', '4R', '8R', '1L', '8L', '2L', '8L', '3R', '10R', '2L', '6R', '1L', '7L', '4R', '6L', '4R', '9R', '2L', '10R', '1L', '7R', '0R', '6R', '1L', '9R', '0R', '7R', '1R', '8L', '2R', '7L', '3R', '6L', '3L', '9L', '2L', '8R', '1L', '9L', '0R', '8L']"
79,-1,"['2R', '9L', '3R', '10L', '0R', '8R', '4L', '9L', '3R', '10L', '4L', '6L', '4R', '10R', '4L', '8L', '4L', '6L', '2R', '9L', '0L', '9L', '3L', '8R', '2R']"
80,1,"['1R', '6L', '0L', '10R', '1L', '10R', '4R', '10L', '0L', '10R', '3R', '8L', '4R', '8L', '4R', '10L', '3R', '8R', '4L', '10L']"
81,-1,"['3L', '8R', '0R', '7L', '3R', '8R', '3R', '6R', '4L', '10R', '1L', '9R', '0R', '6L', '1R', '10R', '2L', '8R', '0R', '9L', '1R']"
82,1,"['3R', '6L', '2L', '7R', '2R', '9R', '0L', '6R', '3R', '10L', '4L', '9L', '2L', '8L', '0L', '7L', '4R', '7L', '3R', '7R', '4R', '8L', '0R', '9L', '1R', '6R', '2R', '8R', '3R', '10L', '4R', '7L', '4L', '6L', '2R', '6R']"
83,-1,"['0R', '10R', '2R', '9L', '0L', '7L', '0R', '6R', '4R', '6L', '1R', '7L', '0L', '7L', '2R', '9L', '3L', '6L', '0R', '7R', '4L', '8L', '0L', '7R', '3L', '8R', '2L', '6L', '1L', '10L', '0R']"
84,-1,"['2R', '7L', '4L', '10L', '2R', '7R', '4L', '9L', '0R', '8L', '3L', '7L', '4R', '8R', '4L', '7R', '3L', '8R', '2L', '9L', '1R']"
85,1,"['1R', '10L', '3L', '8R', '4L', '7L', '4R', '7L', '1L', '7L', '4L', '6R', '0R', '9R', '0R', '8L', '1L', '10L', '0L', '6L', '3L', '8L', '0R', '7L', '1L', '6L', '2R', '7L', '4R', '7L', '3R', '10R', '4L', '8L', '3R', '6L', '4R', '8L', '0L', '7L', '3R', '6R', '0R', '6L', '1R', '8L']"
86,0,"['3L', '6L', '4L', '8R', '2L', '8L', '0R', '7L', '4R', '8R', '0R', '10R', '2L', '6L', '4R', '10L', '0R', '8R', '3L', '6L', '3L', '7R', '2R', '8R', '4R', '9L', '4R', '8R', '3L', '9R', '0R', '10L', '1L', '7R', '3L', '9L', '2L', '8R', '2R', '10R', '1R', '9L', '2L']"
87,1,"['2L', '10R', '3R', '10R', '4R', '7R', '0L', '8L', '3R', '9R', '4L', '8R', '3L', '10R', '2R', '8R', '0R', '9R', '1R', '10L', '2L', '9R', '1L', '10R', '1L', '8L', '0L', '10R', '1R', '7L', '4R', '9L']"
88,1,"['2R', '6L', '3L', '6L', '2R', '10L', '2R', '8L', '3R', '6R', '4R', '9L', '0R', '6L', '1L', '6R', '1L', '10L', '0R', '9R', '3L', '10L', '2L', '9L', '0R', '8L', '2L']"
89,-1,"['3L', '6R', '0R', '8L', '1R', '9R', '2L', '7L', '4R', '10L', '1L', '8R', '4R', '10R', '2L']"
90,1,"['4R', '7R', '0L', '8R', '3L', '10R', '2R', '6R', '0R', '7R', '1L', '6L', '2R', '9L', '0L', '6R', '4R', '8L']"
91,-1,"['1L', '9L', '0L', '8L', '4L', '9L', '0L', '8L', '4L', '10R', '0L', '9L', '3L', '6L', '3R', '8R', '4L', '8R', '1R', '9L', '3L', '8L', '2R', '7L', '3R', '10R', '4R', '9L']"
92,-1,"['3L', '10R', '2L', '6R', '2R', '6R', '3L', '10L', '4L', '9R', '1R', '7L', '4R', '6R', '1L', '8L']"
93,-1,"['3L', '7L', '2R', '9R', '0L', '6L', '1R', '6R', '1R', '8L', '2R', '7R', '4R', '6R', '1L', '9L', '2L', '10R', '2R', '7L', '4L', '6L', '3L', '8L', '0L']"
94,-1,"['4R', '7R', '1R', '9R', '3L', '10R', '2L', '9L', '1R', '6R', '0R', '6L', '0L', '10R', '4L', '7R', '4L', '9L', '2R']"
95,-1,"['2R', '10R', '4R', '7R', '1L', '8L', '3L', '9L', '2R']"
96,-1,"['0L', '10R', '4L', '7L', '0L', '8R', '3R', '9L', '0L', '10R', '4R', '6R', '0L', '7L', '2L', '7L', '0L', '8L', '1R', '7R', '2R', '10R', '3L', '6L', '2L', '8R', '1L', '9R', '0R', '10R', '4L', '9R', '3L']"
97,-1,"['3R', '10R', '0R', '10R', '1L', '6R', '4R', '8L', '3R', '9L', '4L', '8L', '3R', '7L', '4R', '7L', '0R', '8R', '2R', '7L', '3L']"
98,-1,"['1R', '9L', '3R', '9L', '1R', '10R', '1L', '6L', '3R', '9R', '2L', '10L', '4R', '9L', '0R', '8R', '1R', '10L', '3L', '9R', '2L', '10R', '1R', '6R', '3L', '9R', '2L', '10L', '1R', '9L', '0L', '8L', '2L']"
99,-1,"['0L', '9L', '0L', '10L', '0R', '10R', '4L', '8L', '4L', '10R', '3L', '10R', '2L', '10R', '4L', '6L', '1L', '8R', '1R', '9L', '2R', '8L', '2L', '7R', '1L', '8L', '0L', '7L', '3L', '6L', '2R', '10R', '3L', '6L', '2R', '9L', '3L', '8R', '2L']"
100,-1,"['0R', '10R', '1L', '8L', '4L', '9R', '2L', '6L', '3L', '9L', '1R', '8R', '0L', '6L', '4R', '8R', '2L', '7L', '0L', '10R']"
101,-1,"['0R', '10R', '3R', '10L', '1L', '6L', '4L', '8R', '0R', '9R', '1R', '10L', '2R', '9R', '3R', '7L', '4R', '6L', '4R', '10R', '2L', '8L', '4R', '10L', '0R']"
102,1,"['0L', '8L', '0L', '7L', '0L', '8R', '4R', '8R', '3L', '6R', '2R', '7L', '1R', '8L']"
103,-1,"['1R', '10R', '4R', '9L', '3R', '7R', '0R', '8L', '4R', '10L', '1L', '10R', '0R', '8R', '3R', '9L', '4L', '6R', '3L', '7L', '1R', '8L', '2L', '7L', '0R', '6L', '1R', '8R', '2L']"
104,1,"['1R', '6R', '4R', '6L', '0R', '7L', '1L', '9R', '2R', '10L', '3R', '7L', '3R', '6R', '0R', '8L']"
105,1,"['4L', '7L', '4R', '9L', '4R', '6L', '2L', '8L', '1R', '9L', '4L', '7R']"
106,-1,"['4R', '8L', '2R', '7L', '1L', '7R', '2R', '7R', '1L', '6L', '0L', '6R', '2L', '6R', '1R', '10L', '4L', '9L', '3R', '8L', '4R', '8R', '2L', '8L', '3L', '7R', '2L', '8L']"
107,-1,"['2R', '10R', '4R', '9L', '1L', '6L', '1L', '9R', '4L', '10L', '1L', '7L', '0L', '8L', '2R', '7R', '3R', '8L', '2R']"
108,1,"['4R', '8L', '2L', '7L', '2R', '7L', '4R', '6R', '2R', '8R', '4L', '9L', '1L', '7R', '2L', '10L', '1L', '9R', '1R', '10L', '2R', '9R', '3R', '10R', '4R', '8R', '2L', '6R', '3L', '7L', '0R', '7R', '3R', '8R', '4R', '9R', '1R', '10L', '2L', '9R', '4R', '10L', '1L', '6L', '0R', '9R', '1L', '10L', '0R', '7L', '1L', '6R', '0R', '7L', '1L', '6R', '0R', '7R', '1R', '8L']"
109,1,"['0L', '10L', '1L', '6L', '3R', '10L', '0R', '6L', '1L', '9R', '1L', '8R', '0L', '6L', '3R', '10L', '3L', '10R', '4L', '6R', '2L', '7L', '0L', '10L', '4R', '9L', '2L', '8L']"
110,-1,"['3L', '7R', '4R', '9L', '2R', '7L', '2R', '6L', '2R', '9R', '3L', '10R', '0L', '9R', '3R', '10L', '1R', '8R', '0R', '9R', '4R', '10L', '0R', '9L', '1R', '8L', '2L']"
111,1,"['0L', '8R', '4L', '10L']"
112,1,"['3R', '6L', '0L', '7R', '0L', '8L', '2L', '10R', '3R', '6R', '4R', '7L', '2L', '9L', '1R', '7L', '2L', '8R', '1R', '9R', '3L', '6L', '3R', '10L', '2L', '10R', '1L', '8R', '4R', '10L', '4R', '8L', '3L', '9L', '3R', '6L', '3R', '8R', '4L', '9R', '3R', '10R', '4R', '9L', '1L', '6R', '3L', '7R', '4L', '8R', '4L', '10R', '2R', '8R', '0L', '9R', '3L', '10R', '0R', '8R', '1L', '9L', '0R', '8R', '4R', '6R', '1R', '9L']"
113,-1,"['2R', '6L', '3L', '10L', '3L', '8R', '0L', '8L', '4L', '9R', '4L', '6R', '0R', '7R', '0R', '10L', '4R', '9R', '2R', '10R', '3L', '9R', '0R', '10L', '2R', '9L', '3R', '10R', '4R', '8R', '4L', '6L', '4R', '8R', '3L']"
114,-1,"['3R', '8L', '3L', '9L', '1R', '8R', '3L', '10R', '0L', '6L', '4L', '9L', '3L', '8R', '2R']"
115,1,"['0R', '8L', '4L', '10R', '0R', '9L', '2L', '7L', '4L', '6L', '1L', '9L', '2L', '6R', '1L', '7L', '0L', '10L', '1L', '9R', '3R', '10R', '2R', '6L', '1L', '7L', '2R', '9R', '1R', '10L', '2L', '9L', '1R', '8L', '2L', '7L', '1L', '6R', '0L', '7R', '4L', '8L', '1R', '7R', '2R', '8L', '3R', '7L', '3L', '6L', '4R', '8L', '1R', '9R', '4R', '6R', '0L', '10R', '2R', '8R', '0R']"
116,-1,"['3R', '6R', '3R', '10R', '0R', '6L', '2R', '6R', '4R', '7L', '3L', '6L', '1L', '7L', '3L', '6L', '1R', '7L', '2L', '10R', '4L', '6R', '3R', '7L', '4L', '6R', '3L', '10L', '2L', '6R', '1L', '9L', '0L', '6L', '3R', '8R', '4L', '9R', '3R', '10L', '4L', '9L', '3L', '8L']"
117,-1,"['1L', '6R', '0L', '9L', '1L', '7L', '3L', '6R', '1R', '10R', '0L', '6R', '3L', '7R', '2L', '8L', '1L', '7L', '0R', '6L', '1R', '8R', '2R', '7R', '3R', '9R', '4L', '7R', '3R', '10R', '4L', '6R']"
118,-1,"['3R', '10R', '0R', '8R', '1R', '9R', '0R', '10L', '4L', '6L', '3R', '8R', '4R', '6L', '4L', '9L']"
119,1,"['3R', '8R', '1L', '8L', '2R', '8R', '3R', '6L', '3L', '10L', '4R', '8L', '2R', '8R', '0R', '7L']"
120,-1,"['3R', '8L', '3L', '8R', '2R', '10R', '0L', '8R', '4R', '6R', '3L', '7L', '1L', '8R', '4R', '10L', '1L', '6R', '2R', '8L', '3R', '10R', '0L', '6L', '4R', '6R', '1R', '9L', '2R', '8R', '0L', '6L', '2L', '9R', '3R', '7R', '3R', '10L', '4L', '8L', '3R', '9R', '2L', '7R', '1L', '6R', '0L', '10L', '2R']"
121,1,"['3R', '8R', '1L', '8R', '1R', '9L', '0L', '7R', '4L', '8R', '1R', '9R', '0L', '8R']"
122,1,"['3R', '7L', '2L', '7L', '1R', '8R', '0R', '6L', '4R', '7L', '3L', '6L', '4L']"
123,-1,"['1L', '10R', '4L', '9L', '1L', '10L', '0L', '6R', '2L', '8R', '2L', '6L', '2L', '8R', '1R', '7R', '3L', '10L', '0L', '8R', '2R', '6L', '4R', '10L', '2L', '9R', '1L', '7L', '1L', '6R', '3L', '6L', '2R', '9R', '3L', '10R', '1R', '8R']"
124,-1,"['3R', '8R', '0L', '10R', '0R', '6L', '2R', '7R', '0L', '9L', '3R', '7L', '3R', '7R', '2R', '9R', '1L', '7R', '0L', '8R', '3L', '9L', '2L', '8R', '1L', '9L', '0R', '8L']"
125,-1,"['2L', '9R', '1R', '10R', '1R', '10L', '2L', '9R', '1R', '6L', '0L', '9L', '2R', '8L', '4R', '8L', '0L', '9L', '1R', '7R', '2L']"
