,result,moves
49,-1,"['3R', '7R', '3L', '10L', '4L', '9R', '1R', '9L', '0R', '6L', '2R', '6R', '0R', '10R', '0R']"
50,1,"['3R', '7L', '3R', '10L', '0R', '6R', '4R', '10R', '0R', '6L', '3L', '7R', '2R', '10L', '3R', '9L', '3R', '8L', '4R', '9R', '3R', '6L', '0R', '7L', '2R', '9L', '2L', '6L', '2L', '8R', '3R', '9R', '1L', '10R', '0L', '10R', '4L', '7L', '3L', '8R', '2R', '9L', '4R', '8R', '2L', '9R', '1L', '6R', '1L', '7L', '0L', '6L', '4R', '9R', '1L', '10R', '0L', '9L', '1L', '10L', '1R', '9R', '4R', '10L', '2R', '9R', '3L', '10L', '2L']"
51,-1,"['2R', '6L', '3L', '6L', '1R', '9R', '2R', '10L', '2R', '9L', '0R', '6R', '4L', '9R', '3R', '10R', '4L', '7R', '0R', '8L', '1R', '7R', '2R', '10L', '3L', '10L', '0R', '7R', '1R', '6R', '3L']"
52,-1,"['0L', '7L', '2L', '8R', '1R', '9R', '1R', '10L', '1R', '8R', '4L', '8R', '2R']"
53,-1,"['4L', '6L', '0L', '8R', '4L', '8L', '1R', '7L', '0L', '7L', '2L', '9L', '3L', '9R', '2L', '10R', '1R', '8L']"
54,-1,"['4L', '6R', '3R', '10R', '0R', '6L', '2L', '6R', '4L', '8R', '3L', '9R', '2R']"
55,1,"['0L', '9R', '0R', '9R', '3L', '9R', '0L', '10R', '1L', '6L', '4R', '10R', '2R', '7L', '0L', '6L', '2R', '6R']"
56,-1,"['0L', '9L', '3R', '6L', '3R', '10R', '2L', '6L', '3L', '6L', '4R', '9L', '2R', '6L', '3L', '8L', '1R', '7L', '2L', '6L', '0L', '6R', '4L', '7R', '3R', '9L', '4R', '9L', '4R']"
57,-1,"['0L', '10L', '2R', '8L', '3R', '6L', '1L', '9L', '0R', '10R', '2L', '7R', '1R', '6L', '0L', '9R', '3L', '10R', '0R', '8R']"
58,1,"['4L', '9L', '1R', '6R', '3R', '6L', '3R', '7L', '3L', '10R', '1L', '8R', '0R', '9L', '4R', '8R', '1L', '9R', '3R', '10L']"
59,1,"['1L', '6R', '0L', '7L', '0R', '9L', '1R', '6L', '2R', '9R', '3R', '8L', '3R', '10R', '2L', '7L', '4L', '6L', '4R', '8R', '2R', '7R', '3R', '8R', '1R', '9R', '1L', '10R', '1L', '8R', '1R', '7L', '2L']"
60,-1,"['0L', '9R', '1R', '7R', '0L', '10R', '1L', '6L', '0R', '6R', '4R', '9L', '3L', '6R', '1L', '8L', '3R', '7R', '4L', '9R', '0R', '10R', '2R', '8R', '3R', '6L', '2R']"
61,-1,"['0R', '10R', '1R', '10R', '4R', '9R', '1L', '8R', '1L', '7R', '2L', '7R', '4L', '6R', '1L', '7R', '1R', '6R', '4R', '6R', '2L', '9R', '1R', '10R', '2L', '7L', '1L', '6R', '0R', '7L', '1L', '6L', '0L', '8R', '4R', '7R', '0R']"
62,-1,"['2L', '10L', '0L', '7R', '2L', '6R', '1L', '10L', '4R', '9R', '3R', '10L', '2L', '7L', '1R', '8R', '2L']"
63,-1,"['3L', '10L', '1R', '8R', '0R', '9L', '3L', '6L', '1R', '7R', '2R', '9L', '2R', '10R', '1R', '8R', '1R', '10R', '4L']"
64,0,"['1L', '10R', '2L', '8R', '3R', '10R', '4R', '7R', '2R', '10L', '4R', '8R', '3R', '9R', '0L', '9L', '4L', '8L', '3L', '6R', '2R', '7L', '3R', '10R', '4L', '9L', '3L', '8R']"
65,-1,"['2R', '7R', '4R', '10R', '4L', '9R', '4L', '7L', '2L', '8L', '2L', '7L', '4R', '9L', '4L', '9L', '3L']"
66,-1,"['3L', '6R', '2R', '6L', '0R', '8L', '3R', '9R', '2R', '9L', '0L', '6R', '3L', '7L', '4L', '8R', '1L', '6R', '3L', '7R', '2L', '8L']"
67,1,"['1L', '9L', '0L', '7L', '3R', '6R', '0L', '9R', '0L', '9R', '4L', '6L', '1R', '6R', '0L', '7L', '2L', '6R', '3L', '7L', '2L', '10L', '4L', '9L', '2L', '8L']"
68,-1,"['3L', '8L', '0L', '10L', '1L', '6R', '0R', '10L', '3R', '7R', '4L', '9R', '0R', '8R', '4L', '8L', '2R', '10L', '3R', '9L', '0R', '8L']"
69,1,"['4L', '8R', '0L', '9L', '4L', '8L', '0L', '10R', '3L', '9R', '0L', '9L', '2R', '8L', '3R', '6R', '4R', '8R', '2L', '9R', '4L', '10R', '3L', '8L', '2L']"
70,-1,"['0R', '8L', '3L', '9R', '3L', '7R', '1L', '7L', '0L', '7R', '3L', '8R', '2R', '10L', '0L', '10R', '4L', '8L']"
71,1,"['1R', '8L', '4R', '9R', '2R', '6L', '4L', '10R', '2L', '7R', '0R', '6R', '4L', '7L', '0L', '6L', '2L', '8L', '3R', '7L', '1R', '6L', '3L', '9R', '3R', '10R', '2R', '6L', '0R', '8L', '4R', '10L', '1R', '7R', '2L', '9R', '0R', '10L', '1L', '7R', '2R', '8L', '4L', '10L', '3L', '7L', '1R', '8R', '2R', '9L', '4R', '8R', '3L', '9L', '2R']"
72,-1,"['4R', '8L', '1R', '6L', '3R', '7L', '2R', '9L', '0L', '8L', '1L', '6R', '2R']"
73,-1,"['4L', '9L', '4R', '10L', '2R', '6L', '1R', '10R', '3L', '6L', '2L', '9R', '1L', '7L', '4L', '6R', '3R', '7L', '4L', '8L', '4R', '9L', '2L', '9R', '3L', '9L', '2L', '8R', '1R', '9L', '2R', '8L']"
74,-1,"['4R', '6R', '3R', '10R', '2L', '9L', '3L', '9R', '0R', '6L', '3R', '9R', '4R', '9L', '0R', '8R', '1L', '9R', '3R', '6R', '4R', '8L', '4R', '10L', '0R']"
75,-1,"['3R', '6R', '3R', '10R', '0L', '6R', '1R', '10L', '4R', '8L', '0L', '9R', '1R', '10R', '2L']"
76,-1,"['4L', '9L', '3L', '10L', '1R', '6L', '3R', '9R', '0R', '8L', '4L', '6L', '4L']"
77,1,"['2L', '7L', '1L', '7L', '0R', '10R', '3L', '10R', '4R', '8L', '3L', '7R', '2R', '9L', '2R', '7R', '4L', '10L']"
78,-1,"['3R', '6L', '1R', '6L', '3L', '8R', '0L', '10L', '2R', '10R', '1L', '6L', '4R', '8L', '1R', '7L', '2L', '6L', '1L', '6L', '0L', '9R', '2R', '10L', '1R', '9L', '2R', '8R', '0R']"
79,1,"['1R', '9R', '2L', '9L', '4L', '8L']"
80,-1,"['0L', '10R', '3L', '7L', '4L', '10L', '3R', '9L', '4R', '9L', '3L', '6R', '2L', '10R', '2R', '7R']"
81,-1,"['1R', '6L', '4R', '8L', '1L', '10R', '1R', '8L', '2L', '10L', '0L', '10R', '3L', '9R', '3R', '8L', '0L', '9L', '3L', '8L', '2R', '7L', '3R', '10L', '3L', '9L', '2L']"
82,-1,"['0R', '7R', '1L', '7L', '1L', '7L', '4L', '6R', '2R', '8L', '3R', '10L', '1L', '10R', '1L', '8R', '1R', '8L', '2L']"
83,1,"['1R', '8L', '4L', '6L', '3L', '10L', '4L', '6L', '0L', '10L', '3R', '9L', '2R', '6L', '1R', '8L', '3L', '7L', '2L', '8R', '0R', '9R', '1L', '10L', '2R', '9L', '0R', '8R', '4L', '9L', '3L', '8R', '2R']"
84,1,"['3L', '7R', '0R', '10R', '2R', '9R', '1L', '8L', '1R', '6R', '0R', '6L', '0L', '7R', '2L', '8L', '1L', '6R', '4L', '7L', '3R', '6R', '4L', '10L']"
85,-1,"['3L', '10L', '1R', '8R', '2R', '10L', '1L', '7L', '3L', '7L', '4R', '6L', '1R', '10R', '2R', '6L', '3R', '7R', '4L', '8L']"
86,-1,"['4R', '8R', '4R', '6L', '1R', '10L', '0L', '8L', '2R', '8L', '4L', '7R', '2R', '9R', '1R', '8L', '2R', '7L', '3R', '10L', '0R']"
87,1,"['2R', '10L', '0L', '6L', '0L', '6L', '2L', '6R', '1R', '10L', '4L', '6L', '2L', '6R', '4R', '7R', '1L', '8R', '0L', '8R', '1R', '9R', '0R', '10L', '1R', '9R', '2L', '10R', '1L', '6L', '0L', '9L', '4R', '8L', '2L', '7L', '1L', '6R', '0L', '7L', '0R', '7L', '3L', '6R', '2R']"
88,1,"['2L', '10L', '2L', '9L', '3R', '9L', '1L', '9R', '4L', '8R', '3L', '8R', '4L', '7R', '2L', '9R', '0L', '9L', '2R', '8L', '2R', '7R', '0R']"
89,1,"['2L', '6R', '3L', '9L', '2R', '10R', '1L', '7L', '1L', '9L', '0R', '9L', '3R', '9L', '4R', '9R', '0L', '9R', '2L']"
90,-1,"['0L', '8R', '1R', '9L', '1L', '6R', '3R', '10R', '2R', '8L', '1L', '9L', '0R', '6L', '1R', '10R', '3L', '6R', '2L', '7L', '1R', '9R', '1L', '6R', '3R', '10R', '4L']"
91,-1,"['4L', '7R', '1R', '6R', '0L', '8L', '1L', '7L', '4R', '10L', '3R', '8R', '0R', '8L', '4R', '10L', '0R']"
92,-1,"['4L', '8R', '0R', '6L', '2L', '7R', '4L', '6L', '4L', '10R', '1R', '8R', '2L', '7R', '4R']"
93,1,"['2L', '7R', '4R', '6L', '4R', '6R', '3R', '8L', '4L', '7R', '2L', '6R', '3L', '9R', '1L', '9L', '0R', '8L', '1R', '7L', '0R', '7R', '1L', '8L', '0R', '7R', '1R', '8R']"
94,1,"['2R', '7R', '0R', '8R', '4L', '8R', '3L', '6R', '1L', '10L', '0L', '7R', '4R', '10R', '0L', '9R', '4L', '10L', '3R', '6R', '4R', '9R', '1L', '7L', '4R', '7R', '3L', '8L', '2R', '6L', '3R', '10L', '3R', '7L', '3L', '9R', '2L', '6L', '1R', '10R', '2L', '10L', '1R', '7L', '2L', '9L', '1R', '7L', '2L', '6L', '1L', '8R', '0L', '6L', '4R', '10R', '1R', '8R']"
95,1,"['4L', '6L', '0R', '10L', '2R', '7R', '4R', '7L', '1R', '8L', '3L', '7R', '2R', '6L', '3R', '9L', '1R', '8R', '2L', '9L', '1L', '8L']"
96,1,"['2R', '9R', '3L', '8R', '2L', '10R', '2L', '8L', '0L', '7L', '4R', '7L', '4L', '6L', '3L', '9L', '1L', '10R', '2L', '9R', '0R', '8L', '1L', '7L', '0L', '8R', '1R', '9R', '3R', '10L', '4R', '8L', '1L', '10L', '0L', '8R', '1R', '9L', '0L', '7R']"
97,-1,"['0L', '8L', '2L', '10R', '4L', '10R', '3R', '7L', '0R', '6L', '1R', '10R', '3L', '9R', '1R', '8L', '0L', '9R', '2L', '10R', '1R', '7L', '2R', '8R', '3L']"
98,-1,"['4L', '8R', '1R', '8R', '0L', '10L', '4R', '9R', '0L', '7L', '1R', '8R', '4R', '6L', '0R', '8R', '4R', '6R', '0R', '10L', '1L', '8R', '1L', '9L', '0R', '8L', '1R', '7R', '2L']"
99,-1,"['2R', '9L', '4L', '9R', '3R', '10R', '4R', '8R', '0L', '9L', '2R', '8R', '3L', '9R', '2L', '10L', '1R']"
100,-1,"['3R', '6R', '3R', '10L', '3R', '6L', '1L', '6L', '1L', '10L', '2R', '6L', '0L', '6R', '2L', '10L']"
101,1,"['0R', '10L', '2R', '6L', '4L', '8L', '2R', '6L', '3R', '7L', '4R', '6L', '3L', '6L', '1L', '6L', '0L', '10R', '4R', '9R', '1L', '9L', '3R', '8R', '4R', '9L', '0R', '8R', '1R', '9R', '2L', '10R', '4R', '9L', '3L', '10R', '2R', '8R', '4L', '7L', '3L', '6L', '2L', '10R', '3R', '9R', '4R', '6L', '1L', '10L', '0L', '10R', '2L', '8L']"
102,1,"['1L', '6R', '4R', '9R', '1L', '7L', '0L', '7L', '3L', '7R', '1L', '8R', '3L', '10L', '3R', '7L', '2L', '8L', '1R', '9R', '0L', '10R', '0R', '7R', '1R', '8R', '2R']"
103,-1,"['2R', '7L', '4R', '6L', '3L', '8L', '2L', '9R', '1R', '10L', '0R', '7R', '1L', '10R', '3L', '8R', '2L', '9R', '4L', '10L', '3L', '9R', '2L']"
104,-1,"['0L', '9L', '3L', '9R', '1L', '9L', '4L', '8L', '0L', '10L', '2R', '8L', '3R', '10R', '2R', '9L', '3R', '6R', '4L', '7R']"
105,-1,"['4L', '6L', '4L', '10R', '0R', '8L', '0L', '6L', '0L', '9R', '1R', '6R', '2L', '8L', '0R', '10L', '2R', '9R', '1R', '10L', '4R', '7R', '2R']"
106,-1,"['3R', '10R', '1L', '9R', '0R', '6L', '4R', '10R', '4L', '10L', '4R', '7L', '2R']"
107,1,"['0R', '10L', '3L', '6L', '4R', '9L', '1R', '10R', '1L', '6L', '4L', '8L', '3L', '6L', '0L', '7L', '2R', '6R', '3R', '7L', '1R', '9L', '1L', '8L', '3R', '10L', '4R', '9R', '2L', '10L', '1R', '9L', '2R', '8L', '3R', '7R', '4L', '8L', '3L', '7L', '2R', '6R', '3L', '7R', '2R', '8L', '3R', '7R', '4L', '8R']"
108,1,"['0R', '8R', '1R', '6R']"
109,-1,"['0R', '10R', '1R', '7R', '0L', '7R', '4L', '10R', '4R']"
110,1,"['4L', '6R', '1R', '10L', '2R', '10L', '2R', '8L', '4L', '6L', '2L', '7R', '0R', '8L', '4L']"
111,1,"['3L', '10R', '2L', '8L', '0R', '7R', '4L', '8R', '3R', '9R', '0L', '9L', '2L', '10L', '0R', '9L', '1R', '7R', '2R']"
112,-1,"['4R', '7L', '1L', '6L', '2L', '9L', '4L', '9R', '2R', '8L', '3L', '6L', '1R', '6L', '1R', '10L', '1L', '8L', '3L', '7R', '1R', '8R', '2L', '10R', '1R', '9R', '0L', '9R', '3L', '10L', '2L']"
113,-1,"['0R', '9R', '3R', '7R', '3L', '6R', '3L', '7L', '4R', '10L', '0L', '7L', '2R', '8R', '4L', '6L', '2L', '10R', '1R', '10L', '0R', '7L', '2L', '6L', '0L', '7R', '1L', '8R', '1R', '9L', '2R', '7L', '3R', '8R', '4L', '6R']"
114,-1,"['4L', '7L', '4L', '10R', '0L', '6R', '4L', '7L', '2R', '10L', '3R', '7L', '3R', '10L', '4L', '8R', '3R', '7L', '4L', '6L', '4L', '10R', '3R', '7L', '0R', '6L', '1R', '9L', '2L']"
115,-1,"['3R', '10R', '3R', '7L', '2L', '10R', '0L', '6L', '0L', '10L', '2R', '7L', '1R', '6R', '0R', '8R', '0L', '7R', '4R', '10R']"
116,1,"['1R', '6L', '0L', '10L', '0R', '6L', '0R', '7L', '4L', '8R', '3R', '7R', '2L', '8R', '3R', '10L', '4L', '6L', '0R', '8L', '1R', '7L', '3L', '6R', '0R', '7R', '2L', '8L', '0R', '7R', '1R', '8R']"
117,1,"['4R', '8R', '4L', '9L', '3L', '8L', '0L', '10L', '4R', '6R', '3L', '7R', '2L', '7L', '3L', '6R', '2L', '9R', '1L', '9R', '0L', '9L', '0L', '8L', '4L']"
118,1,"['4L', '8R', '0R', '6L', '1R', '8R']"
119,-1,"['3L', '10R', '2L', '8R', '4R', '9L', '3R', '6R', '2R', '6R', '4L', '9L', '0R', '6L', '1R', '7L', '4R', '7R', '3L', '8R', '2R', '9R', '4R', '10R', '3L', '8R', '2R', '6R']"
